Old_name	New_name	Library_name	Population	Position in cluster	Sex
IS04	IS04	TSP43	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP43/TSP43.bam	2
IS05	IS05	TSP44	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP44/TSP44.bam	1
IS06	IS06	TSP45	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP45/TSP45.bam	2
IS07	IS07	TSP58	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP58/TSP58.bam	2
IS08	IS08	TSP59	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP59/TSP59.bam	2
IS09	IS09	TSP64	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP64/TSP64.bam	2
IS10	IS10	TSP85	IS	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP85/TSP85.bam	1
IT01	IT01	IT01	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT01/IT01.bam	2
IT02	IT02	IT02	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT02/IT02.bam	2
IT03	IT03	IT03	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT03/IT03.bam	1
IT04	IT04	IT04	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT04/IT04.bam	1
IT05	IT05	IT05	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT05/IT05.bam	2
IT06	IT06	IT06	IT	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IT06/IT06.bam	2
